"","date","avgDlWindSpeedMPH","avgDlWindDirectionDegrees","periodLength15","periodLength20","periodLength25","pseudoWindSpeed","avgDlWindDirectionDegreesGt15","avgDlWindSpeedMPHGt15","high"
"1",2012-01-01,15.3982905982906,51.5095571095571,75,0,0,15,47.429898989899,17.3103703703704,21
"2",2012-01-02,17.5673504273504,78.9390365190365,96,25,0,20,60.8003673094582,18.7761248852158,30
"3",2012-01-03,20.7799766899767,31.0316006216006,130,61,25,25,31.0316006216006,20.7799766899767,27
"4",2012-01-04,9.72245532245532,75.3069541569542,0,0,0,0,NA,NA,17
"5",2012-01-05,9.85114503816794,55.2900763358779,0,0,0,0,NA,NA,15
"6",2012-01-06,3.59259259259259,102.111111111111,0,0,0,0,NA,NA,5
"7",2012-01-07,9.26635514018692,74.4065420560748,0,0,0,0,NA,NA,14
"8",2012-01-08,10.9618320610687,63.1488549618321,46,0,0,15,55.6195652173913,16.0434782608696,18
"9",2012-01-09,9.14503816793893,115.839694656489,0,0,0,0,NA,NA,15
"10",2012-01-10,9.0763358778626,184.992366412214,0,0,0,0,NA,NA,18
"11",2012-01-11,9.43044953350297,279.569974554707,0,0,0,0,NA,NA,14
"12",2012-01-12,9.13910093299406,43.920695504665,0,0,0,0,NA,NA,16
"13",2012-01-13,15.7387616624258,45.6225614927905,58,0,0,15,44.6139240506329,17.4725738396624,21
"14",2012-01-14,20.5871212121212,40.4659090909091,132,68,0,20,40.4659090909091,20.5871212121212,24
"15",2012-01-15,21.4015151515152,58.5681818181818,132,89,0,20,58.5681818181818,21.4015151515152,25
"16",2012-01-16,15.9962121212121,62.8257575757576,92,0,0,15,58.2282608695652,18.2445652173913,21
"17",2012-01-17,11.2651515151515,70.2159090909091,61,0,0,15,56.8524590163934,16.1311475409836,17
"18",2012-01-18,9.375,47.7386363636364,0,0,0,0,NA,NA,16
"19",2012-01-19,10.4166666666667,38.969696969697,32,0,0,15,36.359649122807,15.8771929824561,18
"20",2012-01-20,9.87121212121212,91.844696969697,33,0,0,15,57.3636363636364,16.8939393939394,18
"21",2012-01-21,9.84848484848485,104.511363636364,0,0,0,0,NA,NA,16
"22",2012-01-22,10.7293233082707,101,31,0,0,15,63.0714285714286,17.7142857142857,20
"23",2012-01-23,11.1503759398496,90.8533834586466,29,0,0,15,53.7567567567568,16.6621621621622,18
"24",2012-01-24,11.7894736842105,80.015037593985,54,0,0,15,58.0740740740741,18.5648148148148,20
"25",2012-01-25,10.6917293233083,119.699248120301,0,0,0,0,NA,NA,18
"26",2012-01-26,10.7368421052632,173.443609022556,0,0,0,0,NA,NA,19
"27",2012-01-27,14.5225563909774,139.263157894737,39,0,0,15,261.491525423729,16.0593220338983,18
"28",2012-01-28,10.6127819548872,46.4812030075188,30,0,0,15,23.4838709677419,18.5483870967742,22
"29",2012-01-29,18.4664179104478,31.5373134328358,126,0,0,15,31.530534351145,18.5648854961832,22
"30",2012-01-30,19.2350746268657,54.2089552238806,134,0,0,15,54.2089552238806,19.2350746268657,22
"31",2012-01-31,13.365671641791,62.1940298507463,66,0,0,15,55.8712121212121,16.6742424242424,19
"32",2012-02-01,10.5666666666667,63.7703703703704,24,0,0,15,64.1666666666667,16.5,18
"33",2012-02-02,13.5703703703704,61.3925925925926,54,0,0,15,53.2345679012346,16.6666666666667,21
"34",2012-02-03,6.14069664902998,96.2464486131153,0,0,0,0,NA,NA,9
"35",2012-02-04,10.8555555555556,50.2074074074074,41,0,0,15,34.3020833333333,16.9270833333333,19
"36",2012-02-05,8.33703703703704,219.351851851852,0,0,0,0,NA,NA,14
"37",2012-02-06,9.25,329.264705882353,0,0,0,0,NA,NA,13
"38",2012-02-07,7.65566037735849,279.915094339623,0,0,0,0,NA,NA,15
"39",2012-02-08,8.05147058823529,52.8345588235294,0,0,0,0,NA,NA,20
"40",2012-02-09,13.3868464052288,61.3958333333333,87,0,0,15,52.7918263090677,17.2809706257982,21
"41",2012-02-10,6.11519607843137,227.47589869281,0,0,0,0,NA,NA,12
"42",2012-02-11,19.9852941176471,107.445669934641,120,69,0,20,100.675084175084,20.1628787878788,24
"43",2012-02-12,21.3978102189781,49.0693430656934,137,113,0,20,49.0693430656934,21.3978102189781,25
"44",2012-02-13,11.5255474452555,77.8503649635037,58,0,0,15,58.3934426229508,17.4508196721311,20
"45",2012-02-14,11.3357664233577,90.7299270072993,42,0,0,15,62.1666666666667,16.797619047619,18
"46",2012-02-15,8.73195458231955,102.444849959449,0,0,0,0,NA,NA,15
"47",2012-02-16,9.39371980676328,95.6940418679549,0,0,0,0,NA,NA,17
"48",2012-02-17,10.6835748792271,97.2149758454106,0,0,0,0,NA,NA,17
"49",2012-02-18,11.9669887278583,144.285024154589,0,0,0,0,NA,NA,18
"50",2012-02-19,12.0217391304348,181.724637681159,77,0,0,15,115.337662337662,18.4480519480519,21
"51",2012-02-20,15.3441247002398,54.882893685052,69,0,0,15,52.7028985507246,17.9130434782609,21
"52",2012-02-21,10.8021582733813,74.0179856115108,28,0,0,15,45.2857142857143,15.9464285714286,18
"53",2012-02-22,10.0725964682799,136.19696969697,0,0,0,0,NA,NA,15
"54",2012-02-23,16.4028776978417,143.665467625899,91,0,0,15,144.509900990099,18.2079207920792,24
"55",2012-02-24,13.6870503597122,145.791366906475,45,0,0,15,148.771929824561,17.9912280701754,24
"56",2012-02-25,11.4964028776978,83.9028776978417,44,0,0,15,40.5795454545455,17.4659090909091,21
"57",2012-02-26,8.8952380952381,114.206746031746,28,0,0,15,53.875,15.9821428571429,18
"58",2012-02-27,13.4393223010244,61.8376674546887,69,43,0,20,41.6183261183261,19.5901875901876,22
"59",2012-02-28,15.8486997635934,59.9294720252167,106,28,0,20,52.5,18.4056603773585,25
"60",2012-02-29,11.3297872340426,88.063829787234,50,0,0,15,52.84,17.66,19
"61",2012-03-01,11.6418439716312,80.8971631205674,31,0,0,15,48.9791666666667,15.90625,17
"62",2012-03-02,14.0425531914894,132.851063829787,37,0,0,15,138.10119047619,16.6904761904762,21
"63",2012-03-03,15.1170212765957,150.769503546099,75,30,0,20,154.44375,18.9875,26
"64",2012-03-04,24.0774647887324,83.8838028169014,142,142,51,25,83.8838028169014,24.0774647887324,31
"65",2012-03-05,21.4330985915493,49.9084507042254,142,111,0,20,49.9084507042254,21.4330985915493,23
"66",2012-03-06,22.2296557120501,57.7241784037559,142,86,47,25,57.7241784037559,22.2296557120501,29
"67",2012-03-07,16.1197183098592,61.5528169014084,82,55,0,20,54.7073170731707,20.1951219512195,24
"68",2012-03-08,14.7183098591549,65.5633802816901,81,0,0,15,56.8273809523809,18.7559523809524,22
"69",2012-03-09,13.7253521126761,55.5915492957746,77,0,0,15,47.9038461538462,18.2179487179487,21
"70",2012-03-10,14.372299382716,52.5474537037037,80,30,0,20,43.4166666666667,18.7826388888889,24
"71",2012-03-11,14.0461419753086,76.5424382716049,69,57,0,20,50.061191626409,21.6880837359098,25
"72",2012-03-12,15.514274691358,64.0327932098765,83,68,0,20,50.5374832663989,21.5080321285141,25
"73",2012-03-13,15.0590277777778,52.3923611111111,81,46,0,20,41.1666666666667,19.4135802469136,23
"74",2012-03-14,17.1215277777778,56.2569444444444,82,54,25,25,46.8351063829787,21.2765957446809,28
"75",2012-03-15,16.9201388888889,57.7465277777778,107,60,0,20,47.607476635514,20.4485981308411,26
"76",2012-03-16,14.051724137931,51.3965517241379,79,0,0,15,37.679012345679,18.4320987654321,21
"77",2012-03-17,13.3582375478927,69.4100313479624,81,0,0,15,45.5056116722783,18.9499314128944,23
"78",2012-03-18,15.6145593869732,71.6429118773946,80,63,0,20,55.4277777777778,22.5013888888889,28
"79",2012-03-19,13.5808429118774,81.7867432950191,61,54,0,20,53.8418943533698,21.7531876138434,24.8333333333333
"80",2012-03-20,12.5383141762452,127.520593869732,0,0,0,0,NA,NA,20
"81",2012-03-21,11.3664383561644,127.147260273973,0,0,0,0,NA,NA,19
"82",2012-03-22,12.8664383561644,100.174657534247,48,0,0,15,66.9393939393939,16.8409090909091,19
"83",2012-03-23,12.6309360730594,77.8598744292237,69,0,0,15,36.9777777777778,17.9140096618357,19.6
"84",2012-03-24,11.3308390022676,68.4598639455782,35,27,0,20,33.1410256410256,20.525641025641,23
"85",2012-03-25,12.037037037037,57.0745550745551,67,0,0,15,42.7680481283422,17.7720588235294,20
"86",2012-03-26,13.0566893424036,40.2717309145881,77,29,0,20,27.5649350649351,19.0974025974026,21
"87",2012-03-27,15.3367346938776,55.1938775510204,91,58,0,20,46.1153846153846,20.532967032967,25
"88",2012-03-28,12.8068027210884,66.5897959183673,74,0,0,15,42.3467532467532,17.3896103896104,18.7
"89",2012-03-29,12.2015831621095,67.8168402677389,73,0,0,15,36.8716216216216,16.4324324324324,20
"90",2012-04-03,10.8556701030928,124.881443298969,0,0,0,0,NA,NA,20
"91",2012-04-04,11.7281879194631,81.4295302013423,62,0,0,15,41.8968253968254,18.2222222222222,21
"92",2012-04-05,13.2953020134228,235.060402684564,31,0,0,15,267.535211267606,16.330985915493,20
